"CYCLE_DAY.YEAR_ID","CYCLE_DAY.SCHOOLID","CYCLE_DAY.LETTER","CYCLE_DAY.DAY_NUMBER","CYCLE_DAY.DAY_NAME","CYCLE_DAY.DATE_VALUE"
"32","3","D","4","B2","2023-01-12"
"32","3","E","5","A3","2023-01-13"
"32","3","F","6","B3","2023-01-16"
"32","3","G","7","A4","2023-01-17"
"32","3","H","8","B4","2023-01-18"
"32","3","A","1","A1","2023-01-19"
"32","3","B","2","B1","2023-01-20"
"32","3","C","3","A2","2023-01-31"
"32","3","D","4","B2","2023-02-01"
"32","3","E","5","A3","2023-02-02"
"32","3","F","6","B3","2023-02-03"
"32","3","G","7","A4","2023-02-06"
"32","3","H","8","B4","2023-02-07"
"32","3","A","1","A1","2023-02-08"
"32","3","B","2","B1","2023-02-09"
"32","3","C","3","A2","2023-02-10"
"32","3","D","4","B2","2023-02-13"
"32","3","E","5","A3","2023-02-14"
"32","3","F","6","B3","2023-02-15"
"32","3","G","7","A4","2023-02-16"
"32","3","H","8","B4","2023-02-17"
"32","3","A","1","A1","2023-02-20"
"32","3","B","2","B1","2023-02-21"
"32","3","C","3","A2","2023-02-22"
"32","3","D","4","B2","2023-02-23"
"32","3","E","5","A3","2023-02-24"
"32","3","F","6","B3","2023-02-27"
"32","3","G","7","A4","2023-02-28"
"32","3","H","8","B4","2023-03-01"
"32","3","A","1","A1","2023-03-02"
"32","3","B","2","B1","2023-03-03"
"32","3","C","3","A2","2023-03-06"
"32","3","D","4","B2","2023-03-07"
"32","3","E","5","A3","2023-03-08"
"32","3","F","6","B3","2023-03-09"
"32","3","G","7","A4","2023-03-10"
"32","3","H","8","B4","2023-03-13"
"32","3","A","1","A1","2023-03-14"
"32","3","B","2","B1","2023-03-15"
"32","3","C","3","A2","2023-03-16"
"32","3","D","4","B2","2023-03-17"
"32","3","E","5","A3","2023-03-20"
"32","3","F","6","B3","2023-03-21"
"32","3","G","7","A4","2023-03-22"
"32","3","H","8","B4","2023-03-23"
"32","3","A","1","A1","2023-03-28"
"32","3","B","2","B1","2023-03-29"
"32","3","C","3","A2","2023-03-30"
"32","3","D","4","B2","2023-03-31"
"32","3","E","5","A3","2023-04-11"
"32","3","F","6","B3","2023-04-12"
"32","3","G","7","A4","2023-04-13"
"32","3","H","8","B4","2023-04-14"
"32","3","A","1","A1","2023-04-17"
"32","3","B","2","B1","2023-04-18"
"32","3","C","3","A2","2023-04-19"
"32","3","D","4","B2","2023-04-20"
"32","3","E","5","A3","2023-04-21"
"32","3","F","6","B3","2023-04-24"
"32","3","G","7","A4","2023-04-25"
"32","3","H","8","B4","2023-04-26"
"32","3","A","1","A1","2023-04-27"
"32","3","B","2","B1","2023-04-28"
"32","3","C","3","A2","2023-05-15"
"32","3","D","4","B2","2023-05-16"
"32","3","E","5","A3","2023-05-17"
"32","3","F","6","B3","2023-05-18"
"32","3","G","7","A4","2023-05-19"
"32","3","H","8","B4","2023-05-22"
"32","3","A","1","A1","2023-05-23"
"32","3","B","2","B1","2023-05-24"
"32","3","C","3","A2","2023-05-25"
"32","3","D","4","B2","2023-05-29"
"32","3","E","5","A3","2023-05-30"
"32","3","F","6","B3","2023-05-31"
"32","3","G","7","A4","2023-06-01"
"32","3","H","8","B4","2023-06-02"
"32","3","A","1","A1","2023-06-05"
"32","3","B","2","B1","2023-06-06"
"32","3","C","3","A2","2023-06-07"
"32","3","D","4","B2","2023-06-08"
